IP,Colo,Region
129.146.137.214,LAX,North_America
129.146.138.164,LAX,North_America
129.146.165.161,LAX,North_America
129.146.174.117,LAX,North_America
129.146.191.80,LAX,North_America
129.146.196.8,LAX,North_America
129.146.242.209,SJC,North_America
129.146.242.248,LAX,North_America
129.146.243.18,SJC,North_America
129.146.246.85,LAX,North_America
129.146.44.62,LAX,North_America
129.146.46.164,SJC,North_America
129.146.47.135,LAX,North_America
129.146.48.204,LAX,North_America
129.150.43.38,SIN,Asia_Pacific
129.150.48.17,SIN,Asia_Pacific
129.150.52.111,SIN,Asia_Pacific
129.150.61.173,SIN,Asia_Pacific
129.151.113.165,SCL,South_America
129.151.204.65,ARN,Europe
129.151.245.96,MRS,Europe
129.151.27.56,LAX,North_America
129.153.115.165,LAX,North_America
129.153.213.12,LAX,North_America
129.153.214.71,LAX,North_America
129.153.217.73,LAX,North_America
129.153.58.219,YYZ,North_America
129.153.58.59,YYZ,North_America
129.153.74.231,LAX,North_America
129.153.83.209,SJC,North_America
129.153.98.190,LAX,North_America
129.154.211.146,ICN,Asia_Pacific
129.154.220.114,ICN,Asia_Pacific
129.154.223.199,ICN,Asia_Pacific
129.154.250.200,BOM,Asia_Pacific
129.154.251.13,BOM,Asia_Pacific
129.154.251.30,BOM,Asia_Pacific
129.154.50.159,ICN,Asia_Pacific
129.158.55.127,IAD,North_America
129.159.119.161,IAD,North_America
129.159.16.85,BOM,Asia_Pacific
129.159.226.75,BOM,Asia_Pacific
129.159.25.87,FRA,Europe
129.159.28.203,FRA,Europe
129.159.34.196,SJC,North_America
129.159.36.93,SJC,North_America
129.159.37.136,SJC,North_America
129.159.84.71,IAD,North_America
129.213.148.107,IAD,North_America
129.213.150.222,IAD,North_America
129.80.152.255,CMH,North_America
129.80.221.237,IAD,North_America
129.80.255.149,IAD,North_America
130.110.13.90,FRA,Europe
130.110.15.186,FRA,Europe
130.110.19.229,FRA,Europe
130.110.19.237,FRA,Europe
130.110.249.47,MRS,Europe
130.162.159.153,ICN,Asia_Pacific
130.162.160.113,LHR,Europe
130.162.182.123,LHR,Europe
130.162.186.11,LHR,Europe
130.61.115.114,FRA,Europe
130.61.12.163,FRA,Europe
130.61.129.162,FRA,Europe
130.61.15.72,FRA,Europe
130.61.187.66,FRA,Europe
130.61.20.131,FRA,Europe
130.61.203.81,FRA,Europe
130.61.208.80,FRA,Europe
130.61.225.147,FRA,Europe
130.61.228.243,FRA,Europe
130.61.230.175,FRA,Europe
130.61.235.114,FRA,Europe
130.61.237.90,FRA,Europe
130.61.242.167,FRA,Europe
130.61.38.70,FRA,Europe
130.61.40.43,FRA,Europe
130.61.48.18,FRA,Europe
130.61.56.135,FRA,Europe
130.61.86.65,FRA,Europe
131.186.16.166,ICN,Asia_Pacific
131.186.33.246,NRT,Asia_Pacific
132.145.145.12,IAD,North_America
132.145.165.127,IAD,North_America
132.145.166.33,IAD,North_America
132.145.23.199,LHR,Europe
132.145.29.208,LHR,Europe
132.145.46.142,LHR,Europe
132.145.73.22,LHR,Europe
132.145.81.117,ICN,Asia_Pacific
132.145.81.4,ICN,Asia_Pacific
132.145.89.240,ICN,Asia_Pacific
132.226.197.103,FRA,Europe
132.226.210.229,LHR,Europe
132.226.218.153,ZRH,Europe
132.226.23.185,ICN,Asia_Pacific
132.226.29.245,LAX,North_America
132.226.37.251,IAD,North_America
132.226.5.25,NRT,Asia_Pacific
132.226.67.208,LAX,North_America
132.226.73.78,LAX,North_America
134.185.109.69,ICN,Asia_Pacific
134.185.113.210,ICN,Asia_Pacific
134.185.121.31,ICN,Asia_Pacific
134.185.82.47,SIN,Asia_Pacific
134.185.83.89,SIN,Asia_Pacific
134.185.85.155,SIN,Asia_Pacific
134.185.91.217,SIN,Asia_Pacific
134.185.91.72,SIN,Asia_Pacific
134.185.99.132,ICN,Asia_Pacific
134.65.60.202,LHR,Europe
134.98.137.159,AMS,Europe
134.98.144.146,AMS,Europe
134.98.149.212,AMS,Europe
134.98.151.93,AMS,Europe
134.98.159.206,AMS,Europe
137.131.29.9,LAX,North_America
137.131.4.105,LAX,North_America
137.131.5.28,LAX,North_America
137.131.54.130,LAX,North_America
137.131.55.145,SJC,North_America
137.131.8.2,LAX,North_America
137.23.29.90,SYD,Oceania
138.2.108.213,SIN,Asia_Pacific
138.2.110.111,SIN,Asia_Pacific
138.2.117.174,ICN,Asia_Pacific
138.2.122.191,ICN,Asia_Pacific
138.2.13.73,NRT,Asia_Pacific
138.2.158.232,FRA,Europe
138.2.162.105,FRA,Europe
138.2.228.125,SJC,North_America
138.2.230.248,SJC,North_America
138.2.230.58,SJC,North_America
138.2.30.150,NRT,Asia_Pacific
138.2.31.37,NRT,Asia_Pacific
138.2.43.153,KIX,Asia_Pacific
138.2.5.136,NRT,Asia_Pacific
138.2.52.152,KIX,Asia_Pacific
138.2.59.112,SJC,North_America
138.2.62.8,KIX,Asia_Pacific
138.2.66.236,SIN,Asia_Pacific
138.2.76.34,SIN,Asia_Pacific
138.2.87.237,SIN,Asia_Pacific
138.2.91.90,SIN,Asia_Pacific
138.2.98.162,SIN,Asia_Pacific
138.3.214.171,NRT,Asia_Pacific
138.3.254.178,FRA,Europe
140.238.1.126,ICN,Asia_Pacific
140.238.12.60,ICN,Asia_Pacific
140.238.144.211,YYZ,North_America
140.238.152.64,YYZ,North_America
140.238.158.86,YYZ,North_America
140.238.17.157,ICN,Asia_Pacific
140.238.170.32,ZRH,Europe
140.238.198.5,SYD,Oceania
140.238.201.118,SYD,Oceania
140.238.208.210,ZRH,Europe
140.238.208.240,ZRH,Europe
140.238.209.8,ZRH,Europe
140.238.32.146,NRT,Asia_Pacific
140.238.49.222,NRT,Asia_Pacific
140.238.50.134,NRT,Asia_Pacific
140.238.62.127,NRT,Asia_Pacific
140.238.8.1,ICN,Asia_Pacific
140.238.8.92,ICN,Asia_Pacific
140.238.89.18,LHR,Europe
140.238.91.161,LHR,Europe
140.245.101.124,SIN,Asia_Pacific
140.245.103.72,SIN,Asia_Pacific
140.245.104.189,SIN,Asia_Pacific
140.245.107.213,SIN,Asia_Pacific
140.245.111.252,SIN,Asia_Pacific
140.245.112.130,SIN,Asia_Pacific
140.245.114.190,SIN,Asia_Pacific
140.245.121.32,SIN,Asia_Pacific
140.245.127.48,SIN,Asia_Pacific
140.245.252.127,BOM,Asia_Pacific
140.245.42.30,SIN,Asia_Pacific
140.245.44.79,SIN,Asia_Pacific
140.245.53.25,SIN,Asia_Pacific
140.245.53.52,SIN,Asia_Pacific
140.245.58.23,SIN,Asia_Pacific
140.245.59.245,SIN,Asia_Pacific
140.245.65.100,ICN,Asia_Pacific
140.245.76.126,ICN,Asia_Pacific
140.245.79.77,ICN,Asia_Pacific
140.245.89.136,NRT,Asia_Pacific
140.245.96.165,SIN,Asia_Pacific
140.245.97.206,SIN,Asia_Pacific
140.83.48.48,SJC,North_America
140.83.50.165,KIX,Asia_Pacific
140.83.58.118,KIX,Asia_Pacific
140.83.58.91,KIX,Asia_Pacific
140.83.61.171,KIX,Asia_Pacific
140.83.87.149,KIX,Asia_Pacific
141.144.195.228,AMS,Europe
141.144.197.66,AMS,Europe
141.145.198.129,CDG,Europe
141.145.220.26,CDG,Europe
141.145.223.162,CDG,Europe
141.147.110.118,LHR,Europe
141.147.114.60,LHR,Europe
141.147.149.223,KIX,Asia_Pacific
141.147.174.243,NRT,Asia_Pacific
141.147.176.31,NRT,Asia_Pacific
141.147.185.181,NRT,Asia_Pacific
141.147.31.174,FRA,Europe
141.147.70.200,LHR,Europe
141.147.86.214,LHR,Europe
141.148.136.150,SJC,North_America
141.148.145.112,SJC,North_America
141.148.155.60,SJC,North_America
141.148.159.253,LAX,North_America
141.148.167.5,LAX,North_America
141.148.230.220,AMS,Europe
141.148.246.88,AMS,Europe
141.148.247.11,AMS,Europe
141.253.114.88,CDG,Europe
141.253.118.230,WAW,Europe
141.253.121.200,CDG,Europe
141.253.194.63,MAD,Europe
141.253.98.123,CDG,Europe
143.47.108.112,IAD,North_America
143.47.240.3,LHR,Europe
143.47.242.109,LHR,Europe
144.24.140.37,BOM,Asia_Pacific
144.24.142.138,BOM,Asia_Pacific
144.24.152.218,BOM,Asia_Pacific
144.24.207.108,MRS,Europe
