IP,Ping (ms),Upload (Mbps),Download (Mbps)
192.9.157.76,78,108.67,26.67
138.2.230.58,79,48.69,57.18
146.235.218.116,79,162.15,101.07
163.192.27.167,79,48.62,65.11
163.192.44.187,79,48.41,60.80
192.9.243.53,79,47.13,63.81
146.235.202.197,80,43.43,54.26
146.235.233.180,80,194.18,97.39
159.54.166.192,80,45.96,59.91
159.54.180.96,80,43.33,61.79
163.192.61.105,80,53.34,50.65
165.1.79.166,80,47.68,58.77
167.234.219.146,80,48.68,71.46
192.18.136.255,80,46.97,58.41
146.235.199.164,81,48.04,61.28
146.235.220.243,81,45.48,59.13
150.230.35.233,81,97.14,99.04
152.67.252.0,81,49.22,56.63
163.192.47.170,81,50.73,63.12
163.192.62.250,81,44.19,60.15
167.234.210.174,81,95.21,95.37
192.9.138.214,81,42.72,60.62
192.9.149.198,81,47.78,59.65
140.245.89.136,366,49.07,36.20
168.110.52.52,367,31.59,32.91
132.226.5.25,368,29.81,31.24
138.2.30.150,368,32.97,33.12
141.147.185.181,368,34.19,36.10
161.33.212.104,369,32.22,33.48
161.33.212.191,369,23.11,35.70
140.238.49.222,370,34.89,32.42
161.33.168.73,370,26.53,35.02
161.33.222.44,370,34.63,33.13
168.138.212.80,370,37.55,30.98
193.123.166.47,370,55.88,37.50
64.181.188.99,471,30.11,27.99
152.67.41.217,478,28.76,27.10
150.230.78.183,491,33.48,24.07
129.151.113.165,650,31.87,26.14
157.137.229.226,720,32.84,29.55
84.8.145.58,350,32.12,37.99
130.162.179.227,351,22.92,39.50
193.123.189.60,352,35.32,39.29
132.145.73.22,354,43.65,35.55
193.123.180.197,354,31.80,33.65
193.123.183.16,354,28.06,38.70
132.226.210.229,355,41.87,32.18
152.67.159.95,355,20.78,38.66
140.238.90.106,356,21.25,37.96
132.145.46.142,357,45.47,38.31
132.145.29.208,358,44.68,34.71
132.145.27.70,360,32.99,38.60
132.145.53.195,360,34.25,34.34
145.241.221.61,360,39.52,31.73
79.72.91.32,360,35.85,31.56
132.226.211.19,362,26.10,34.62
132.226.211.229,362,36.16,32.96
144.21.63.89,362,31.24,37.77
141.147.114.178,365,30.09,37.92
79.72.79.192,365,26.90,37.39
129.159.148.76,522,22.36,21.79
161.33.237.158,510,26.91,24.87
158.180.5.171,512,25.12,25.44
140.238.198.5,514,29.85,24.59
192.9.175.224,527,38.50,27.96
169.224.228.61,534,24.33,25.75
207.211.157.214,534,31.69,25.91
207.211.146.175,535,26.12,25.47
168.138.8.162,538,27.67,22.38
207.211.148.122,539,21.58,25.38
169.224.230.14,542,22.68,25.36
168.138.22.243,629,27.45,26.24
